empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp,ebikes,has_ebikes,last_updated,payment_0,payment_1,payment-terminal,rental_uris_android,rental_uris_ios,renting,returning,slots,uid
0,"{'ebikes': 3, 'has_ebikes': True, 'last_updated': 1696291820, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 21, 'uid': '1835246815877178358'}",21,f544fc02cca39ea2efd5dbdca4a45671,40.76086,-73.87308,30 Ave & 96 St,2023-10-03 00:11:38.366000+00:00,3,True,1696291820,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,21,1835246815877178358
43,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291855, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 49, 'uid': '66dc18c2-0aca-11e7-82f6-3863bb44ef7c'}",4,68f48d9ceb0d85c9b4e98293033acf2d,40.746647,-73.993915,W 27 St & 7 Ave,2023-10-03 00:11:38.597000+00:00,0,True,1696291855,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,49,66dc18c2-0aca-11e7-82f6-3863bb44ef7c
16,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291848, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1835246658344669972'}",4,3ed4f58ca60e7c5ff77cdfc5c2dfc195,40.75712,-73.8722,96 St & Northern Blvd,2023-10-03 00:11:39.214000+00:00,1,True,1696291848,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1835246658344669972
22,"{'ebikes': 8, 'has_ebikes': True, 'last_updated': 1696291825, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 30, 'uid': '1828969215385895856'}",8,7b07718c3f0f40c435ae924db026f439,40.74919,-73.87043,Warren St & Roosevelt Ave,2023-10-03 00:11:38.519000+00:00,8,True,1696291825,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,30,1828969215385895856
13,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291759, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 19, 'uid': '1828968611856235508'}",6,d746185f2e8ca351ce1d878768e458db,40.75958,-73.88219,31 Ave & 86 St,2023-10-03 00:11:38.199000+00:00,1,True,1696291759,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,19,1828968611856235508
1,"{'ebikes': 2, 'has_ebikes': True, 'last_updated': 1696291778, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 18, 'uid': '1828969323789472168'}",16,1b6f330580ba8e7cd82bdd4207930f80,40.76313,-73.8772,92 St & Astoria Blvd,2023-10-03 00:11:38.197000+00:00,2,True,1696291778,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,18,1828969323789472168
13,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291846, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 27, 'uid': '66dd01c5-0aca-11e7-82f6-3863bb44ef7c'}",8,810dc23919af68173dfd16361a217b07,40.7190095,-73.95852515,Berry St & N 8 St,2023-10-03 00:11:38.455000+00:00,0,True,1696291846,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,27,66dd01c5-0aca-11e7-82f6-3863bb44ef7c
15,"{'ebikes': 2, 'has_ebikes': True, 'last_updated': 1696291844, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1835246937517543544'}",5,2a2f11752aea36f203ca88acdabf64f5,40.76589,-73.87789,24 Ave & 92 St,2023-10-03 00:11:38.291000+00:00,2,True,1696291844,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1835246937517543544
10,"{'ebikes': 11, 'has_ebikes': True, 'last_updated': 1696291789, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 22, 'uid': '1835247070661529934'}",11,311f54d39a464aafe1a75ac887b92d9c,40.76769,-73.8791,91 St & 23 Ave,2023-10-03 00:11:38.099000+00:00,11,True,1696291789,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,22,1835247070661529934
5,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291781, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1838685618105506490'}",13,a2185e8994620b0287bd7bcc20322b85,40.76454,-73.87171,98 St & 25 Ave,2023-10-03 00:11:38.726000+00:00,1,True,1696291781,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1838685618105506490
